ID,feat1,feat2,feat3,rating
104,10,50,1066,0.78
105,3,62,4250,0.87
106,3,69,4121,0.04
107,3,81,2877,0.20
108,9,63,8789,0.19
109,6,52,3361,0.57
110,2,85,5895,0.80
111,3,52,7149,0.16
112,1,97,5478,0.82
113,2,56,6873,0.94
114,9,76,8992,0.54
115,9,72,2459,0.74
116,7,82,3387,0.28
117,4,69,1861,0.98
118,8,95,5384,0.54
119,4,75,4635,0.14
120,4,90,9599,0.98
121,3,72,3053,0.94
122,5,64,9653,0.72
123,4,92,1102,0.50
124,4,87,8172,0.05
125,4,57,3834,0.33
126,9,83,5404,0.92
127,7,91,1131,0.23
128,2,63,9624,0.49
129,9,69,5969,0.97
130,7,86,9437,0.20
131,10,71,5474,0.20
132,9,70,9743,0.81
133,8,93,9229,0.10
134,5,65,6475,0.29
135,9,90,8055,0.47
136,4,63,4248,0.09
137,7,73,2565,0.96
138,3,84,9409,0.03
139,3,94,2411,0.80
140,5,99,8890,0.62
141,6,64,6160,0.66
142,6,67,9468,0.03
143,1,73,8496,0.33
144,7,99,8888,0.78
145,2,83,6431,0.43
146,3,97,3884,0.23
147,7,70,6495,0.98
148,3,80,9635,0.15
149,7,50,2027,0.85
150,10,72,9934,0.16
151,10,65,2116,0.91
152,9,76,6085,0.41
153,10,73,8676,0.24
154,9,74,7509,0.41
155,2,57,9968,0.47
156,3,53,1464,0.90
157,4,57,1626,0.97
158,3,82,2345,0.37
159,1,96,3670,0.59
160,6,95,9884,0.76
161,5,64,6358,0.05
162,5,61,7062,0.01
163,6,62,6962,0.72
164,10,85,7924,0.61
165,6,96,3080,0.94
166,2,77,9026,0.36
167,4,82,5083,0.18
168,8,66,6544,0.70
169,10,70,5666,0.82
170,5,79,4700,0.43
171,9,94,5581,0.66
172,3,53,4287,0.62
173,4,70,2751,0.67
174,8,85,7625,0.23
175,8,79,5190,0.94
176,3,71,4915,0.32
177,4,55,6041,0.82
178,9,88,3392,0.99
179,4,95,2855,0.14
180,6,82,2998,0.36
181,5,75,3981,0.61
182,7,78,9907,0.90
183,9,84,6364,0.98
184,6,58,9299,0.21
185,9,81,4255,0.81
186,5,66,1321,0.14
187,5,99,9182,0.59
188,8,65,9256,0.20
189,5,83,4043,0.50
190,10,85,7946,0.00
191,5,92,3575,0.95
192,5,94,4000,0.48
193,9,80,7316,0.75
194,8,66,4278,0.48
195,8,79,4090,0.07
196,10,91,4564,0.25
197,7,98,8484,0.13
198,7,92,4879,0.90
199,2,86,4004,0.72
200,1,68,9688,0.97
201,5,73,3560,0.08
202,2,58,9414,0.38
203,6,77,4760,0.01
204,8,51,6343,0.75
205,4,58,7859,0.27
206,2,72,5662,0.47
207,8,95,8328,0.33
208,5,67,8902,0.88
209,1,50,8402,0.78
210,7,69,2885,0.52
211,1,98,5233,0.00
212,4,73,3940,0.19
213,10,84,4382,0.57
214,1,79,6933,0.58
215,6,65,4251,0.09
216,9,96,6439,0.70
217,2,89,6381,0.59
218,8,99,3236,0.04
219,10,70,3185,0.94
220,5,66,1166,0.02
221,8,78,2603,0.44
222,7,59,3659,0.24
223,9,91,4672,0.98
224,5,57,9206,0.23
225,8,91,2357,0.58
226,7,59,7557,0.74
227,9,57,1809,1.00
228,9,62,2410,0.89
229,5,99,4821,0.74
230,8,89,9785,0.32
231,4,54,3644,0.34
232,3,69,9183,0.64
233,8,89,8321,0.86
234,6,51,9498,0.15
235,10,78,3438,0.59
236,3,53,9135,0.60
237,5,96,2782,0.90
238,2,67,1956,0.37
239,2,54,6273,0.14
240,4,83,5777,0.38
241,10,54,1298,0.61
242,2,62,5669,0.63
243,6,69,7826,0.63
244,1,68,6308,0.43
245,1,66,4495,0.05
246,6,76,1932,0.22
247,6,66,2369,0.72
248,1,58,7265,0.30
249,8,78,9932,0.07
250,8,89,2988,0.13
251,8,81,9335,0.20
252,4,58,6471,0.57
253,2,88,3116,0.75
254,8,95,4808,0.25
255,10,75,7790,0.07
256,6,77,3472,0.20
257,3,73,2572,0.89
258,8,99,6125,0.43
259,6,96,3698,0.35
260,1,51,9426,0.12
261,3,62,8219,0.01
262,8,52,3143,0.49
263,7,56,5618,0.44
264,6,68,9565,0.62
265,6,54,1349,0.11
266,1,99,7898,0.72
267,5,84,3339,0.57
268,2,80,6438,0.61
269,9,56,7513,0.43
270,5,90,3212,0.02
271,1,84,2988,0.95
272,6,79,2362,0.97
273,9,62,5262,0.40
274,9,71,8395,0.73
275,10,87,7537,0.55
276,6,67,3266,0.52
277,10,62,7309,0.35
278,9,73,5086,0.17
279,8,93,1612,0.37
280,1,67,5176,0.91
281,1,56,6986,0.91
282,7,94,8264,0.37
283,3,86,7680,0.28
284,7,83,3456,0.16
285,2,61,6108,0.54
286,5,84,9784,0.69
287,7,72,3639,0.85
288,7,90,5063,0.40
289,10,70,1023,0.23
290,10,50,8600,0.85
291,7,71,8940,0.66
292,10,88,1008,0.34
293,1,59,2239,0.97
294,2,86,2534,0.68
295,4,82,1180,0.33
296,3,90,3549,0.23
297,7,57,1471,0.46
298,4,54,1770,0.42
299,2,79,1012,0.63
300,5,93,4415,0.74
301,1,73,1425,0.72
302,4,62,7899,0.01
303,4,99,2717,0.83
304,10,72,5848,0.13
305,9,98,7134,0.62
306,8,64,3473,0.38
307,8,68,6667,0.40
308,5,92,1651,0.79
309,6,83,3126,0.20
310,2,71,2244,0.26
311,1,67,5387,0.21
312,8,97,8755,0.32
313,6,72,6432,0.26
314,7,58,2737,0.12
315,9,67,3721,0.76
316,9,61,8114,0.99
317,3,97,9054,0.78
318,9,62,9372,0.63
319,1,71,8447,0.48
320,3,91,6544,0.69
321,9,74,1552,0.47
322,6,86,7254,0.01
323,9,60,4413,0.64
324,5,89,6812,0.89
325,9,52,4120,0.44
326,1,65,5271,0.58
327,1,63,5156,0.19
328,3,55,9860,0.15
329,6,80,2440,0.69
330,7,58,4499,0.83
331,9,72,9223,0.88
332,1,98,3667,0.84
333,1,52,5307,0.95
334,7,66,6684,0.82
335,10,60,1167,0.89
336,10,81,1522,0.84
337,7,86,8046,0.33
338,4,54,5597,0.62
339,1,92,5264,0.92
340,8,96,6516,0.26
341,8,91,8410,0.25
342,8,75,2950,0.52
343,9,76,6456,0.83
344,6,58,1769,0.04
345,2,84,1009,0.75
346,7,100,7083,0.62
347,7,87,1267,0.93
348,5,89,9450,0.38
349,6,84,2467,0.77
350,1,94,4094,0.37
351,1,53,5987,0.50
352,7,94,4261,0.84
353,6,73,5718,0.92
354,8,94,3922,0.94
355,6,90,4311,0.81
356,8,62,6866,0.00
357,10,64,8084,0.80
358,4,90,5647,0.49
359,6,59,9448,0.37
360,3,69,9338,0.67
361,6,94,7505,0.60
362,3,68,7414,0.75
363,3,72,9843,0.19
364,8,83,5129,0.12
365,4,92,9686,0.09
366,5,88,5028,0.76
367,5,89,7748,0.30
368,8,60,7807,0.31
369,9,67,5225,0.74
370,6,57,6580,0.86
371,9,78,4962,0.82
372,1,58,3455,0.55
373,4,65,5497,0.25
374,7,57,4386,0.94
375,1,90,5232,0.71
376,3,55,5201,0.78
377,1,64,7156,0.52
378,2,60,4148,0.53
379,5,79,4061,0.78
380,10,64,2037,0.93
381,6,100,1896,0.88
382,6,100,6834,0.72
383,1,60,8856,0.59
384,2,94,6450,0.37
385,5,56,9268,0.76
386,8,76,4968,0.46
387,10,61,1032,0.92
388,4,71,1655,0.47
389,4,72,7554,0.23
390,5,87,2910,0.10
391,2,52,5174,0.61
392,1,92,2086,0.32
393,6,64,2803,0.08
394,4,90,1809,0.05
395,1,85,6623,0.95
396,3,71,2875,0.49
397,4,52,3090,0.55
398,9,96,4341,0.42
399,8,92,1664,0.50
400,6,53,6320,0.68
401,2,68,3960,0.16
402,1,85,9735,0.14
403,5,90,2729,0.84
404,6,91,2134,0.74
405,9,67,3590,0.84
406,1,56,6653,0.46
407,1,57,6512,0.53
408,6,51,6324,0.91
409,2,53,5262,0.25
410,4,96,9982,0.01
411,4,86,7592,0.57
412,3,78,1217,0.56
413,5,95,7876,0.50
414,6,73,2849,0.65
415,3,50,3513,0.36
416,7,82,3735,0.28
417,9,53,1961,0.98
418,4,64,4532,0.36
419,7,50,8380,0.59
420,6,95,6959,0.95
421,3,69,4670,0.45
422,4,89,2958,0.33
423,4,92,7404,0.61
424,3,79,8627,0.62
425,6,63,3003,0.42
426,7,59,5634,0.46
427,1,65,1681,0.92
428,8,58,3779,0.46
429,8,64,5420,0.99
430,7,65,5771,0.14
431,2,71,9485,0.25
432,8,97,2519,0.23
433,3,74,2145,0.37
434,3,79,4445,0.53
435,3,77,5523,0.77
436,5,61,4724,0.06
437,2,53,7267,0.79
438,4,84,4881,0.38
439,8,63,3813,0.66
440,10,62,3021,0.87
441,4,86,6516,0.53
442,10,76,8663,0.41
443,3,91,6441,0.74
444,2,60,9582,0.35
445,2,86,9438,0.74
446,4,78,6089,0.03
447,9,97,8925,0.12
448,7,67,8948,0.39
449,6,75,2020,0.53
450,6,88,4023,0.25
451,7,71,3070,0.84
452,8,78,3800,0.75
453,5,95,1556,0.24
454,7,74,4741,0.70
455,5,99,8428,0.84
456,9,79,6465,0.63
457,9,56,9013,0.05
458,9,76,7012,0.11
459,8,86,4086,0.38
460,5,73,6833,0.87
461,10,51,4775,0.79
462,1,90,8522,0.95
463,8,55,8732,0.88
464,4,50,3651,0.89
465,2,99,9900,0.85
466,8,64,5444,0.36
467,7,50,1384,0.91
468,4,70,6919,0.60
469,9,83,7328,0.72
470,6,79,5137,0.44
471,7,54,5322,0.98
472,3,72,9227,0.87
473,8,85,9827,0.37
474,5,57,4698,0.66
475,2,91,2185,0.64
476,5,78,3630,0.06
477,7,53,5105,0.08
478,6,93,9540,0.09
479,8,92,4344,0.45
480,1,68,5786,0.14
481,7,70,2661,0.99
482,2,75,2519,0.94
483,1,79,2186,0.71
484,6,52,2582,0.43
485,3,100,5209,0.67
486,4,57,8938,0.49
487,2,77,3818,0.90
488,7,97,5211,0.10
489,9,63,8290,0.62
490,4,78,2201,0.20
491,8,98,4331,0.89
492,9,99,6377,0.87
493,10,100,6464,0.15
494,1,66,1942,0.95
495,1,82,9975,0.36
496,3,98,9280,0.81
497,9,71,7406,0.37
498,5,75,2582,0.93
499,1,50,4920,0.91
500,1,95,4466,0.75
501,6,92,8234,0.10
502,7,91,1927,0.26
503,6,95,8604,0.64
504,6,93,6490,0.99
505,9,63,8686,0.49
506,2,96,9119,0.83
507,10,73,1708,0.34
508,6,50,2770,0.44
509,5,80,2879,0.22
510,1,56,2950,0.01
511,7,98,4215,0.18
512,1,60,1956,0.28
513,7,76,9306,0.31
514,10,71,6338,0.01
515,5,85,1030,0.77
516,10,94,4420,0.62
517,7,60,1903,0.87
518,8,68,2068,0.76
519,3,100,3778,0.78
520,4,84,4865,0.56
521,7,84,8790,0.30
522,4,60,9384,0.19
523,1,95,4826,0.60
524,2,52,4334,0.10
525,9,80,4844,0.42
526,2,88,1196,0.15
527,1,94,6360,0.15
528,6,99,6182,0.47
529,3,86,9338,0.86
530,1,83,4988,0.64
531,7,54,2122,0.82
532,5,85,7590,0.08
533,8,75,3709,0.14
534,2,51,9906,0.61
535,4,51,3247,0.78
536,3,62,4481,0.30
537,10,68,6390,0.62
538,5,92,9159,0.47
539,1,73,3032,0.67
540,8,80,1984,0.29
541,1,55,3711,0.01
542,6,96,1783,0.45
543,1,59,4970,0.29
544,7,92,6969,0.73
545,2,57,6667,0.42
546,9,75,3500,0.36
547,1,55,9922,0.39
548,9,70,5485,0.71
549,4,90,8633,0.39
550,9,72,9930,0.72
551,10,84,5883,0.57
552,7,84,8986,0.98
553,5,83,2986,0.90
554,8,88,6577,0.39
555,2,93,2846,0.97
556,3,58,2744,0.10
557,3,57,1658,0.39
558,5,99,5257,0.35
559,2,86,8719,0.62
560,9,64,1805,0.22
561,2,69,3331,0.05
562,10,61,3708,0.85
563,7,59,2011,0.80
564,10,54,1014,0.80
565,4,76,4601,0.30
566,10,99,9203,0.51
567,3,76,3977,0.31
568,3,100,7810,0.85
569,7,63,1226,0.39
570,6,51,1019,0.25
571,8,60,2861,0.55
572,5,59,4190,0.15
573,1,54,7901,0.19
574,10,80,3160,0.01
575,4,56,3092,0.38
576,9,78,7768,0.42
577,5,99,1654,0.40
578,1,59,2445,0.64
579,10,97,9845,0.68
580,1,82,1331,0.96
581,5,100,7911,0.00
582,7,66,9817,0.54
583,2,66,5545,0.27
584,1,87,4690,0.66
585,1,97,1828,0.77
586,10,57,3788,0.15
587,9,72,6323,0.53
588,9,92,2629,0.07
589,10,73,1304,0.94
590,8,59,5297,0.26
591,8,64,7837,0.63
592,10,75,6254,0.81
593,5,71,7737,0.51
594,4,96,7031,0.57
595,4,78,7996,0.40
596,10,79,2683,0.78
597,7,54,4712,0.03
598,1,68,9961,0.43
599,9,83,8902,0.38
600,7,98,1738,0.99
601,3,86,7168,0.87
602,5,84,2896,0.55
603,2,75,2765,0.36
604,3,88,5657,0.79
605,6,88,8628,0.72
606,8,96,7391,0.53
607,10,61,6907,0.69
608,10,73,3065,0.07
609,4,79,3702,0.95
610,5,73,5723,0.05
611,10,60,6345,0.17
612,10,56,1089,0.56
613,7,79,2407,0.52
614,5,95,3314,0.12
615,8,56,1450,0.57
616,4,99,5217,0.43
617,4,77,1129,0.04
618,5,70,5168,0.40
619,7,80,6572,0.10
620,2,53,8571,0.31
621,7,51,1906,0.14
622,9,90,1720,0.40
623,8,77,3195,0.17
624,7,86,2614,0.57
625,10,58,7206,0.07
626,6,58,5088,0.03
627,4,52,3788,0.86
628,6,82,9726,0.42
629,3,82,3279,0.44
630,5,63,4450,0.87
631,6,87,3923,0.42
632,10,54,6080,0.73
633,7,86,4899,0.12
634,7,99,4341,0.95
635,9,54,3542,0.33
636,5,65,8192,0.67
637,7,82,1099,0.41
638,5,98,9716,0.24
639,1,67,3948,0.53
640,8,93,7936,0.25
641,5,52,2688,0.27
642,5,70,5108,0.81
643,2,71,3277,0.10
644,6,62,3487,0.31
645,9,98,4717,0.27
646,7,67,8859,0.87
647,2,100,8928,0.17
648,8,75,1967,0.69
649,9,68,4067,0.06
650,2,79,8111,0.91
651,6,51,3470,0.91
652,3,70,9906,0.21
653,4,61,9315,0.82
654,1,98,8767,0.63
655,2,96,4439,0.32
656,2,94,1298,0.34
657,8,82,3586,0.19
658,3,58,5746,0.39
659,6,71,4782,0.19
660,7,54,5761,0.37
661,2,53,1327,0.15
662,8,73,7902,0.64
663,1,89,3285,0.12
664,4,58,3217,0.18
665,4,97,5533,0.38
666,4,78,4141,0.47
667,7,91,6984,0.81
668,2,67,8778,0.64
669,2,50,4370,0.70
670,4,85,5346,0.71
671,7,65,8487,0.49
672,4,71,2028,0.97
673,10,63,8159,0.50
674,2,77,3752,0.00
675,2,51,9347,0.52
676,4,99,6926,0.73
677,2,54,9257,0.39
678,2,99,6489,0.41
679,3,58,1888,0.15
680,5,71,4133,0.91
681,8,69,1301,0.49
682,3,91,2163,0.61
683,1,79,9347,0.02
684,3,78,8697,0.15
685,10,64,2189,0.78
686,2,72,1683,0.55
687,7,82,1224,0.74
688,1,73,2913,0.05
689,4,84,5893,0.55
690,6,57,4804,0.13
691,5,59,2952,0.66
692,7,84,9657,0.72
693,9,67,2765,0.76
694,10,60,9342,0.48
695,2,95,1181,0.00
696,1,71,1876,0.09
697,10,88,7187,0.22
698,6,73,3988,0.25
699,4,58,1649,0.82
700,6,73,1010,0.45
701,1,98,5794,0.24
702,5,90,8248,0.31
703,3,54,9678,0.56
704,7,52,1307,0.11
705,2,53,3181,0.56
706,2,54,2329,0.99
707,8,94,9940,0.96
708,9,84,6078,0.93
709,9,94,6200,0.22
710,2,58,3120,0.69
711,10,88,1719,0.50
712,4,96,6269,0.03
713,2,79,7793,0.46
714,9,84,8201,0.31
715,2,86,9910,0.29
716,7,56,6410,0.90
717,4,54,8927,0.77
718,1,91,4132,0.43
719,9,71,2167,0.94
720,4,90,8972,0.27
721,3,60,6116,0.65
722,5,86,2053,0.42
723,2,71,4631,0.10
724,5,58,7331,0.25
725,8,86,9736,0.10
726,7,59,4112,0.68
727,2,99,5154,0.97
728,5,71,5892,0.38
729,2,92,4700,0.56
730,10,89,7857,0.04
731,5,59,1443,0.58
732,4,90,2418,0.45
733,1,93,2180,0.54
734,5,51,5255,0.51
735,4,93,3149,0.12
736,6,100,8229,0.64
737,9,86,6082,0.63
738,4,92,4454,0.96
739,7,100,4008,0.02
740,9,82,3401,0.34
741,9,98,7830,0.62
742,9,61,4772,0.89
743,4,53,5155,0.64
744,7,55,3114,0.91
745,1,59,6764,0.93
746,6,50,5583,0.32
747,10,56,7907,0.13
748,5,94,1954,0.10
749,6,85,2751,0.56
750,8,95,9838,0.49
751,7,83,2496,0.62
752,4,58,4337,0.22
753,1,86,6792,0.36
754,3,97,3994,0.89
755,10,88,4623,0.64
756,9,77,2186,0.19
757,10,72,8706,0.84
758,5,88,3160,0.82
759,7,94,6164,0.63
760,2,83,9517,0.00
761,1,57,7344,0.75
762,9,50,5432,0.46
763,8,71,5625,0.14
764,9,85,2090,0.83
765,10,73,2786,0.90
766,8,83,8242,0.55
767,3,67,8767,0.63
768,2,64,6970,0.34
769,3,73,6359,0.66
770,5,64,2232,0.59
771,10,83,7256,0.46
772,8,92,8520,0.04
773,9,65,5174,0.65
774,10,62,1334,0.53
775,6,96,9898,0.06
776,8,80,8011,0.28
777,4,92,2193,0.56
778,5,56,6044,0.40
779,5,79,5215,0.02
780,1,86,4245,0.08
781,2,94,2461,0.64
782,2,53,1408,0.39
783,1,54,1423,0.29
784,4,100,6376,0.43
785,8,78,1792,0.32
786,8,93,4089,0.20
787,3,80,6987,0.38
788,4,69,5077,0.70
789,7,67,7733,0.48
790,10,89,2785,0.45
791,5,78,1325,0.85
792,1,52,9945,0.64
793,4,62,8677,0.76
794,8,56,6187,0.62
795,9,52,4907,0.01
796,5,68,1281,0.83
797,4,74,6826,1.00
798,1,66,3153,0.72
799,10,67,3964,0.60
800,5,86,9111,0.18
801,8,83,2594,0.09
802,3,51,2534,0.38
803,7,97,6653,0.65
804,3,90,6461,0.76
805,4,63,2288,0.30
806,7,63,5993,0.83
807,3,81,3464,0.75
808,4,80,3320,0.55
809,1,100,7636,0.79
810,2,87,9347,0.63
811,6,83,1437,0.36
812,7,58,6848,0.24
813,9,91,1309,0.21
814,5,90,8916,0.64
815,10,93,5026,0.87
816,2,54,3326,0.84
817,5,80,4702,0.46
818,7,70,5079,0.19
819,9,77,7540,0.03
820,4,60,5500,0.03
821,6,80,3104,0.23
822,6,51,8398,0.32
823,5,91,2840,0.63
824,10,74,4991,0.10
825,8,69,9469,0.92
826,3,100,4844,0.04
827,2,78,5080,0.15
828,3,91,3390,0.00
829,8,97,4706,0.72
830,9,67,4735,0.30
831,6,51,8865,0.83
832,8,85,2962,0.38
833,8,70,8852,0.90
834,5,65,8686,0.49
835,9,66,8731,0.27
836,1,64,7790,0.95
837,6,80,8525,0.65
838,8,60,6182,0.87
839,2,99,1106,0.16
840,10,96,3508,0.39
841,1,80,7124,0.83
842,1,85,3377,0.90
843,2,69,6010,0.92
844,6,71,6516,0.77
845,10,64,1390,0.36
846,3,84,1464,0.29
847,2,66,7927,0.14
848,6,93,6737,0.58
849,7,95,8924,0.01
850,3,51,7296,0.70
851,1,51,9776,0.05
852,10,85,3581,0.61
853,5,80,7274,0.78
854,5,66,2858,0.61
855,3,99,4519,0.38
856,4,69,2805,0.61
857,5,64,3857,0.89
858,3,51,7946,0.81
859,9,81,6623,0.95
860,10,57,5721,0.59
861,3,96,1902,0.96
862,4,75,9984,0.13
863,7,84,3818,0.15
864,3,77,6338,0.04
865,7,80,2967,0.88
866,2,77,2267,0.26
867,6,55,9710,0.93
868,9,90,3734,0.62
869,3,93,6513,0.25
870,3,89,5887,0.27
871,8,78,6777,0.40
872,2,75,3178,0.69
873,9,51,3494,0.82
874,1,51,1409,0.70
875,7,53,9395,0.18
876,1,84,2318,1.00
877,6,90,6530,0.43
878,10,99,9806,0.52
879,2,95,8234,0.28
880,2,62,6947,0.59
881,3,90,7108,0.05
882,3,84,6423,0.68
883,10,97,8607,0.45
884,8,93,7987,0.39
885,6,100,9192,0.68
886,5,54,3545,0.43
887,6,53,3688,0.92
888,2,82,4845,0.37
889,8,85,3423,0.01
890,1,89,8950,0.07
891,2,79,1882,0.60
892,3,97,5745,0.04
893,5,95,2368,0.63
894,4,76,3465,0.02
895,9,81,3897,0.84
896,9,66,4181,0.08
897,7,61,2183,0.19
898,8,55,8962,0.35
899,2,100,1637,0.04
900,1,62,8945,0.56
901,6,75,9323,0.22
902,1,92,7037,0.99
903,6,62,4907,0.35
904,6,61,6354,0.05
905,6,95,9468,0.11
906,9,65,3237,0.62
907,2,96,2048,0.79
908,6,66,2293,0.04
909,9,79,8838,0.25
910,7,79,8521,0.50
911,7,70,7663,0.45
912,3,66,8125,0.52
913,1,61,3146,0.09
914,6,77,9087,0.69
915,2,57,6939,0.04
916,4,75,7325,0.34
917,2,60,1334,0.67
918,2,75,2159,0.93
919,4,97,2306,0.10
920,5,79,3415,0.75
921,10,57,7350,0.43
922,6,91,9297,0.70
923,6,69,6543,0.32
924,9,53,2899,0.09
925,6,72,4392,0.13
926,5,87,4077,0.07
927,2,81,4590,0.15
928,6,67,2764,0.91
929,6,54,9191,0.48
930,6,79,2896,0.28
931,3,97,9362,0.65
932,7,51,7623,0.95
933,4,100,6977,0.12
934,10,55,1327,0.73
935,4,77,8384,0.00
936,6,78,7970,0.98
937,8,94,9658,0.01
938,4,83,1128,0.24
939,3,52,8228,0.40
940,2,53,5854,0.85
941,6,56,1805,0.60
942,5,59,9671,0.24
943,9,68,2833,0.54
944,10,88,8053,0.34
945,7,69,4159,0.05
946,1,73,9408,0.54
947,10,87,7807,0.05
948,9,81,8411,0.83
949,7,54,1635,0.35
950,8,72,3254,0.28
951,4,94,8878,0.06
952,2,64,6378,0.06
953,4,74,2460,0.39
954,3,72,4381,0.23
955,3,70,2002,0.25
956,1,79,2770,0.85
957,1,98,9732,0.72
958,10,86,9877,0.79
959,3,93,7434,0.16
960,9,82,4308,0.16
961,1,65,6913,0.60
962,10,70,6231,0.51
963,2,78,7066,0.43
964,4,67,8500,0.15
965,8,96,1468,0.79
966,5,68,4771,0.19
967,4,53,3055,0.48
968,10,94,6193,0.79
969,8,72,9620,0.05
970,8,81,3134,0.55
971,2,61,8537,0.58
972,9,79,6050,0.69
973,10,62,3817,0.16
974,7,94,7730,0.12
975,1,56,9879,0.05
976,10,62,3481,0.71
977,3,100,5545,0.31
978,4,86,3460,0.75
979,9,50,2375,0.94
980,9,98,3782,0.89
981,2,87,9802,0.44
982,2,67,4126,0.81
983,6,52,9067,0.40
984,7,88,3033,0.85
985,3,84,5763,0.77
986,1,93,6447,0.82
987,5,52,6994,0.35
988,10,70,7206,0.13
989,5,66,1728,0.45
990,7,97,9666,0.90
991,2,75,6528,0.56
992,9,68,8233,0.71
993,1,71,8198,0.19
994,4,98,4637,0.55
995,3,86,2727,0.02
996,3,90,1365,0.29
997,8,83,3955,0.85
998,1,61,5505,0.02
999,7,73,4985,0.01
1000,6,86,3878,0.74
1001,2,51,1308,0.90
1002,10,60,2406,0.03
1003,3,95,2035,0.38
1004,1,86,1841,0.02
1005,8,58,9371,0.59
1006,8,86,5887,0.21
1007,6,90,8204,0.88
1008,1,95,4771,0.04
1009,9,93,2469,0.86
1010,7,77,9141,0.61
1011,4,70,8008,0.53
1012,1,72,5174,0.01
1013,2,73,6961,0.87
1014,8,72,5135,0.92
1015,7,88,1454,0.67
1016,6,89,3654,0.03
1017,7,89,1409,0.55
1018,1,69,2273,0.55
1019,8,87,2166,0.62
1020,3,55,7212,0.83
1021,10,60,2259,0.51
1022,7,89,7791,0.02
1023,2,78,8773,0.09
1024,6,62,5915,0.63
1025,6,71,7633,0.07
1026,4,85,8220,0.32
1027,8,96,1145,0.57
1028,4,85,8326,0.16
1029,2,93,1062,0.90
1030,5,87,8786,0.07
1031,1,93,3092,0.83
1032,4,52,7554,0.12
1033,7,98,4716,0.04
1034,2,92,8579,0.97
1035,10,96,6010,0.99
1036,1,60,7956,0.72
1037,10,82,2262,0.47
1038,7,81,7799,0.60
1039,2,96,7611,0.43
1040,1,63,9128,0.13
1041,8,55,3007,0.23
1042,7,61,5226,0.91
1043,8,92,2816,0.77
1044,2,76,3941,0.09
1045,10,94,2910,0.65
1046,10,77,7046,0.54
1047,9,88,4490,0.09
1048,5,69,2014,0.21
1049,3,53,6397,0.28
1050,8,83,9599,0.44
1051,7,83,8633,0.45
1052,10,52,6182,0.31
1053,9,93,5624,0.23
1054,7,96,9979,0.41
1055,5,50,7730,0.21
1056,1,92,3053,0.13
1057,9,97,6533,0.12
1058,8,72,2372,0.88
1059,9,85,9439,0.96
1060,4,72,8004,0.02
1061,6,98,8952,0.56
1062,6,68,7563,0.17
1063,8,86,5146,0.33
1064,1,74,1798,0.05
1065,2,58,4719,0.28
1066,1,97,1807,0.89
1067,1,88,5516,0.54
1068,3,75,9050,0.18
